Restaurant name,Restaurant address,City,Postal code,Region
"<a href=""https://bandedgoosebrewing.com/"">The Goose, Kitchen & Bar (formerly Jack's Gastropub)</a>",15 Main Street East,Kingsville,N9Y 1A2,Western Ontario
"<a href=""https://graffitimarket.ca/"">Graffiti Market</a>","137 Glasgow Street, Suite 385",Kitchener,N2G 4X8,Western Ontario
"<a href=""https://www.richuncletavern.ca/"">Rich Uncle Tavern</a>",45 King Street West,Kitchener,N2G 1A1,Western Ontario
"<a href=""https://lancsmokehouse.com/"">Lancaster Smokehouse</a>",574 Lancaster Street West,Kitchener,N2K 1M3,Western Ontario
"<a href=""https://www.oddduckwp.com/"">odd duck</a>",93 Ontario Street South,Kitchener,N2G 1X5,Western Ontario
"<a href=""https://arrowwoodfarm.ca/"">The Harvest Table</a>",6460 Riverside Drive,Melbourne,N0L 1T0,Western Ontario
"<a href=""https://www.summerhousepark.ca/explore/food-services.html"">The Shoreline & Corbetta's Woodfired Pizza at Summer House Park</a>",197 Miller Lake Shore Road,Miller Lake,N0H 1Z0,Western Ontario
"<a href=""https://www.larosebakery.com/"">La Rose Specialty Foods and Fine Italian Bakery</a>",327 Bronte Street South,Milton,L9T 4A4,Western Ontario
"<a href=""https://www.bistroreunion.ca/"">Bistro Réunion</a>",42 Queen Street,Morriston,N0B 2C0,Western Ontario
"<a href=""https://www.niagaraparks.com/visit/culinary/table-rock-house-restaurant/"">Table Rock House Restaurant</a>",6650 Niagara River Parkway,Niagara Falls,L2G 0L0,Western Ontario
"<a href=""https://www.niagaraparks.com/visit/golf-course/legends-on-the-niagara/"">Legends on the Niagara</a>",9561 Niagara River Parkway,Niagara Falls,L2E 6S6,Western Ontario
"<a href=""https://www.niagaraparks.com/visit/culinary/queen-victoria-place-restaurant/"">Queen Victoria Place Restaurant</a>",6345 Niagara River Parkway,Niagara Falls,L2E 6T2,Western Ontario
"<a href=""https://www.peller.com/winery-restaurant.html"">Peller Estates Winery Restaurant </a>",290 John Street East,Niagara-on-the-Lake,L0S 1J0,Western Ontario
"<a href=""https://www.niagaraparks.com/visit/culinary/queenston-heights-restaurant/"">Queenston Heights Restaurant </a>",14184 Niagara River Parkway,Niagara-on-the-Lake,L0S 1J0,Western Ontario
"<a href=""https://www.twosistersvineyards.com/Kitchen-76"">Kitchen76 at Two Sisters Vineyards</a>",240 John Street East,Niagara-on-the-Lake,L0S 1J0,Western Ontario
"<a href=""https://feedyourdragon.com/"">The Hungry Dragon</a>","1911 Ironoak Way, Units 1 and 2",Oakville,L6H 0N1,Western Ontario
"<a href=""https://justpaellas.square.site/"">Just Paellas</a>",399 Switchgrass Street,Oakville,L6M 0Z2,Western Ontario
"<a href=""https://www.blackbirchrestaurant.ca/"">Black Birch</a>",397388 Hockley Road,Orangeville,L9W 6N1,Western Ontario
"<a href=""https://dejavudiner.ca/"">Deja Vu Diner</a>",318 Broadway,Orangeville,L9W 1L3,Western Ontario
"<a href=""https://monocliffsinn.com/"">The Mono Cliffs Inn</a>",367006 Mono Centre Road,Orangeville,L9W 6X5,Western Ontario
"<a href=""https://www.mudtownstation.ca/"">Mudtown Station</a>",1198 1<sup>st</sup> Avenue East,Owen Sound,N4K 2E2,Western Ontario
"<a href=""https://bonfireonqueen.com/"">Bonfire on Queen</a>",342 Queen Street North,Paisley,N0G 2N0,Western Ontario
"<a href=""https://www.maximiliansrestaurant.ca/"">Maximilian Restaurant</a>",99 Gore Street East,Perth,K7H 1J1,Western Ontario
"<a href=""https://chezdavidrestaurant.com/en/frontpage/"">David's Restaurant</a>",168 New Lake Shore Road,Port Dover,N0A 1N3,Western Ontario
"<a href=""https://tuttco.ca/"">Tutt Co.</a>",159 Queen Street East,Saint Marys,N4X 1C1,Western Ontario
"<a href=""https://www.thewellnessrefinery.com/"">The Wellness Refinery</a>",656 Main Street,Sauble Beach,N0H 2G0,Western Ontario
Highview Food & Drink,166 High Street,Southampton,N0H 2L0,Western Ontario
"<a href=""https://rockwaywine.ca/pages/dine"">Windows On Rockway Restaurant</a>",3290 Ninth Street,St. Catharines,L2R 6P7,Western Ontario
"<a href=""https://www.dineoncampus.ca/ridley"">Chartwell Group at Ridley College</a>",2 Ridley Road ,St. Catharines ,L2R 7C3,Western Ontario
"<a href=""https://fatsparrowgroup.com/pages/jacobs-grill"">Jacob's Grill</a>",1398 King Street North,St. Jacobs,N0B 2N0,Western Ontario
"<a href=""https://fatsparrowgroup.com/pages/stone-crock-bakery"">Stone Crock Bakery",1402 King Street North,St. Jacobs,N0B 2N0,Western Ontario
"<a href=""https://fatsparrowgroup.com/pages/the-fat-sparrow-block-the-butcher-and-market"">Butcher Market Food</a>",1396 King Street North,St. Jacobs,N0B 2N0,Western Ontario
"<a href=""https://symposiumcafe.com/locations/stoney-creek-restaurants"">Symposium Cafe Restaurant & Lounge</a>",2247 Rymal Road East,Stoney Creek,L8J 2V8,Western Ontario
"<a href=""https://www.stamphouse.ca/"">Stamp House Bed and Breakfast</a>",136 Hibernia Street,Stratford,N5A 5V4,Western Ontario
"<a href=""https://www.clocktower-inn.ca/"">Clock Tower Bistro</a>",71 Frank Street,Strathroy,N7G 2R5,Western Ontario
"<a href=""https://www.brucewinebar.ca/"">Bruce Wine Bar</a>",8 Bruce Street South,Thornbury,N0H 2P0,Western Ontario
18 Wheeler,3613 Queen's Line,Tilbury,N0P 2L0,Western Ontario
Rose’s Family Restaurant,10 Queen Street North,Tilbury,N0P 2L0,Western Ontario
The Lincoln Grille,71 Queen Street North,Tilbury,N0P 2L0,Western Ontario
Real Food Kitchen & Bake Shop,58 Queen Street North,Tilbury,N0P 1H0,Western Ontario
"<a href=""https://vineland.com/the-restaurant/"">Vineland Estates Winery & Restaurant</a>",3620 Moyer Road,Vineland,L0R 2C0,Western Ontario
"<a href=""https://teamperogy.ca/"">stuffed. Handcrafted Perogies</a>","<abbr title=""post office"">P.O.</abbr> Box 248",Waterdown,L0R 2H0,Western Ontario
"<a href=""https://svuptown.ca/"">S & V Uptown</a>",15 King Street North,Waterloo,N2J 2W6,Western Ontario
"<a href=""https://mtbellies.com/"">M.T. Bellies</a>",871 Niagara Street,Welland,L3C 6Y1,Western Ontario
"<a href=""https://future.uwindsor.ca/residence-food-servicess"">University of Windsor&nbsp;- Residence Dining</a>",401 Sunset Avenue,Windsor,N9C 2J9,Western Ontario
"<a href=""https://www.finklestreet.com/"">Finkle Street Tap & Grill</a>",450 Simoce Street,Woodstock,N4S 1J8,Western Ontario
"<a href=""https://www.sixthirtynine.com/"">SixThirtyNine</a>",639 Peel Street,Woodstock,N4S 1K9,Western Ontario
"<a href=""https://hessenland.com/"">Hessenland Inn & Schatz Winery</a>",72981 Bluewater Highway,Zurich,N0M 2T0,Western Ontario
